ccpost_id,ccpageid,total_interactions,date,country,profile,facebook_url,post_url,post_text
51446552826840592,12346024,29155,2026-01-24,Denmark,Mette Frederiksen,https://www.facebook.com/mettefrederiksen.dk,https://www.facebook.com/733100558185826/posts/1446552826840592,"Det er ikke til at bære, at den amerikanske præsident betvivler allierede soldaters indsats i Afghanistan. Mange danske soldater mistede livet eller blev sårede. Og Danmark er et af de NATO-lande, som pr. indbygger har haft de største tab. Jeg har den dybeste respekt for de soldater, som satte alt på spil i en krig, som vi politikere udsendte dem til og som de kæmpede side om side med soldater fra blandt andre USA. Jeg forstår godt, at danske veteraner har sagt, at ingen ord forklarer, hvor ondt det gør. Og mine tanker går til veteranerne, jeres familier og de efterladte, som på ingen måde har fortjent det her."
51449218716574003,12346024,31407,2026-01-27,Denmark,Mette Frederiksen,https://www.facebook.com/mettefrederiksen.dk,https://www.facebook.com/733100558185826/posts/1449218716574003,"Kære alle En god nyhed i dag 😊 Nu har vi en aftale om en fødevarecheck. Til mange af jer, der har mindst og mærker de høje fødevarepriser mest. Det er blevet dyrere at fylde indkøbskurven de seneste år. Og det rammer ikke alle lige hårdt. Fødevarechecken bliver en hjælpende hånd. En kontant overførsel til alle jer pensionister, der ikke har store formuer i banken. Jer børnefamilier uden høje indkomster. Til jer, der står uden job. Og jer studerende, der ikke bor hjemme. En check løser ikke alt. For priserne er stadig høje. Og regeringen fortsætter arbejdet med at se på, hvordan vi kan sænke momsen. Enten så fødevarerne generelt bliver lidt billigere. Eller så momsen helt bliver fjernet på frugt og grønt. Jeg glæder mig over den politiske tilslutning til aftalen, som kommer oveni blandt andet nedsættelse af elafgiften i to år, lønløft, lavere egenbetaling for vuggestuer og børnehaver og skattelettelser til flere af jer. I de her dage er jeg sammen med Jens-Frederik Nielsen i Berlin og Paris. Hvor vi skal drøfte den aktuelle udenrigspolitiske situation og behovet for et styrket Europa. Det er godt at være afsted sammen🤝🏼 God dag til jer alle☺️"
51455065945989280,12346024,4123,2026-02-03,Denmark,Mette Frederiksen,https://www.facebook.com/mettefrederiksen.dk,https://www.facebook.com/733100558185826/posts/1455065945989280,"Første skoledag er altid noget helt specielt❤️ For både barn og forælder. Skoletasken pakkes. Madpakken smørres. Og man følger sit lille barn helt ind i den nye klasse. Med dygtige lærere og nye kammerater. Men måske også en oplevelse af, at der er rigtig mange nye ansigter at forholde sig til. Selvom vi har en god folkeskole med dedikerede lærere, der hver dag gør en kæmpe forskel for børn over hele landet, så oplever for mange skolestarten som en brat overgang. Mange nye mennesker, man skal tage ind. Uro og afbrydelser. Og vi ser desværre flere børn med længerevarende skolefravær. Når vores børn og unge forlader skolen er der også for mange, der ikke består dansk og matematik. Og når tingene ikke fungerer, gør det ondt. Både på børn og forældre. I er hårdt spændt for. Og vi skal som samfund være mere fælles om det her. Derfor vil vi Socialdemokratiet i morgen fremlægge et ambitiøst udspil og en ny vision for vores børns folkeskole. Vi kalder det ”Lilleskolen”. Budskabet er klart: Vi vil indføre et klasseloft med maksimalt 14 elever i de små klasser. Fra 0.-3. klasse. Små klasser skal give mere ro og tryghed. Det giver bedre mulighed for at lære at læse, regne og skrive. Og at være en del af et fællesskab. Alt det her handler i virkeligheden om én ting: En investering i vores skønne børn. At tage mistrivslen alvorligt og sikre, at alle børn får en god start i fællesskabets skole. Det skylder vi dem. Jeg glæder mig til at fortælle meget mere om det i morgen. Håber sådan I vil tage godt imod det 🙏🏻"
51451860906309784,12346024,5090,2026-01-30,Denmark,Mette Frederiksen,https://www.facebook.com/mettefrederiksen.dk,https://www.facebook.com/reel/1904397053769789,"Flere kriminelle udlændinge skal udvises. Jeg kommer aldrig til at forstå, hvorfor nogen vælger at tage til Danmark for at begå kriminalitet. Grov vold. Voldtægt. Narko- eller bandekriminalitet.  At man gør andre mennesker ondt i det land, der har tilbudt én husly og tryghed. Det er en hån mod vores fantastiske land og alle, der bor her. Selvom der er meget at se til internationalt, skal vi også finde tid til at løse de udfordringer, vi har her i landet.  Og i dag har regeringen præsenteret vores udvisningsreform. Den handler ikke om alle jer, som er kommet til Danmark, og som bidrager og er en del af vores fællesskab. Den handler om dem, der begår alvorlig kriminalitet. Vi har strammet udvisningsreglerne. Nu tager vi endnu et markant skridt. Så kriminelle udlændinge, der idømmes mindst et års ubetinget fængsel for alvorlig kriminalitet som grov vold og voldtægt, som det helt klare udgangspunkt udvises. Vi indfører også en ny fodlænkeordning til bl.a. kriminelle udlændinge på udrejsecentre som Kærshovedgård. I alt for mange år har de terroriseret lokalområdet. Nu bliver det sådan, at hvis de igen og igen bryder den opholds- og meldepligt, vi har pålagt dem, så får de en GPS-fodlænke på. Vi ønsker, at udlændinge uden lovligt ophold får de strammest mulige vilkår, indtil de enten rejser selv eller kan tvinges hjem af myndighederne.  Vi vil også intensivere arbejdet med at oprette modtagecentre uden for EU. I flere år stod vi alene, men det er der nu bred opbakning til i EU. Så vi endelig kan gøre op med et asylsystem, der ikke fungerer. Det handler om tryghed. Og det handler om at passe på Danmark🙏🏼"
1001362934365202439,12346024,3793,2025-10-07,Denmark,Mette Frederiksen,https://www.facebook.com/mettefrederiksen.dk,https://www.facebook.com/100044576643050/posts/1362934365202439,"Chikane, vold og dødstrusler er langt over stregen. Alligevel er det virkeligheden for alt for mange politikere. 

Jeg ved ikke, om det er de sociale medier. der har gjort det. Eller om afstanden mellem os er blevet for stor. Uanset årsagen. Det er som om grænserne for, hvad vi kan sige om - og til - hinanden, er blevet udvisket. 

Vi har brug for alle stemmer i det offentlige rum. Ikke kun dem, der råber højst. Og vi har brug for folk, der stiller sig forrest. Brug for lærere, der underviser. Uden at blive kaldt skældsord. For fængselsbetjente, der holder styr på de indsatte. Uden at blive overfaldet. For skraldemænd, der henter affald uden at blive spyttet på. 

For den slags vidner om en mistillid. Og Danmark er bygget på det modsatte. Tillid og samarbejde❤️🇩🇰"
51452647032897838,12346024,17387,2026-01-31,Denmark,Mette Frederiksen,https://www.facebook.com/mettefrederiksen.dk,https://www.facebook.com/733100558185826/posts/1452647032897838,"Rørende billeder fra Kastellet og København i dag🙏🏼❤️ Mange mennesker er mødt frem for at hædre vores soldater og veteraner. Med god grund. Tusindvis af danskere har givet deres bedste år til fred og frihed. Side om side med amerikanerne. Derfor er det også sorgfuldt, når der fra amerikansk side tales både forkert og urimeligt om vores danske soldater. Over hele verden står der respekt om vores danske udsendte. Fra andre landes forsvar, fra befolkninger og fra alle os soldaterfamilier, der er stolte over vores familiemedlemmer🙏🏼 I dag står vi danskere sammen. Og det gør vi også i morgen 🇩🇰 og til slut en særlig kærlig hilsen til jer, der har mistet. Jeres smerte er ubærlig. Vi er med jer. Og jeres kære er også i vores andres tanker."
51455862689242939,12346024,3849,2026-02-04,Denmark,Mette Frederiksen,https://www.facebook.com/mettefrederiksen.dk,https://www.facebook.com/reel/1274818544491291,"Kære forældre 😊 Vi tror på, at vi kan give jeres børn en bedre start i skolen ved at have færre elever i klasserne i de første år. Vi kalder det “lilleskolen”. Med et klasseloft på 14 elever i 0.-3. klasse. Det vil give mere ro til fordybelse og bedre mulighed for at få tal og bogstaver på plads. Mens man i et trygt rum lærer om det, man ikke kan læse sig til i en bog: at tage del i et fællesskab❤️ Kh Mette"
51450262966469578,12346024,10044,2026-01-28,Denmark,Mette Frederiksen,https://www.facebook.com/mettefrederiksen.dk,https://www.facebook.com/733100558185826/posts/1450262966469578,"Mange mærker stadig konsekvenserne af de høje fødevarepriser. I nytårstalen nævnte jeg, at vi ikke havde gjort nok ved den udfordring. Og at det skulle være anderledes. Derfor er jeg glad for, at der i går faldt en aftale på plads om en fødevarecheck til nogle af jer, der er hårdt ramt af de priserne på særligt fødevarer. I dag har vi landet endnu en aftale, der skal afhjælpe udfordringen. Nemlig en aftale om at sætte 6 mia. kr. af årligt fra 2028 til at sænke momsen på fødevarer eller fjerne momsen på frugt og grønt. Så det kan blive lidt billigere at fylde kurven, når man er i supermarkedet. Det kan ikke træde i kraft fra den ene dag til den anden, desværre. Men det ændrer ikke på, at vi mener, det er det rigtige at gøre. Samtidig har det i forhandlingerne været meget vigtigt for regeringen, at fødevarechecken kommer ud til jer så hurtigt som muligt. God aften😊"
1001363431431819399,12346024,1641,2025-10-08,Denmark,Mette Frederiksen,https://www.facebook.com/mettefrederiksen.dk,https://www.facebook.com/100044576643050/posts/1363431431819399,Fart på da Folketinget åbnede i går 😅
51454236769405531,12346024,5598,2026-02-02,Denmark,Mette Frederiksen,https://www.facebook.com/mettefrederiksen.dk,https://www.facebook.com/733100558185826/posts/1454236769405531,"Mød mig i Næstved, Kolding og Aalborg i den her uge 😊 Verden forandrer sig hurtigt. Nyhederne står i kø. Og netop derfor betyder samtalen så meget. I den her uge kan du møde mig i tre forskellige byer. Til en samtale om det, der fylder i både vores verden og hverdag. I selskab med TV-vært Christian Degn. Jeg håber, du har lyst til at være med. Du kan finde link til tilmelding i kommentaren herunder 👇🏻✨"
